gene,PT_seg01,PT_seg02,PT_seg03,PT_seg04,PT_seg05,PT_seg06,PT_seg07,PT_seg08,PT_seg09,PT_seg10,PT_seg11,PT_seg12,PT_seg13,PT_seg14,PT_seg15,PT_seg16
SLC35E2A,0.020637989520526846,0.022043396249631312,0.020165544480877592,0.01869168749739871,0.020619793393240108,0.021767597266294632,0.020319333129336675,0.024103140053422303,0.023432260733188815,0.02211334832545008,0.024708704202325193,0.02665040262016006,0.0223117295517406,0.031030210787835327,0.03582551136372903,0.037833847767776915
NADK,0.07761977588179289,0.08496755956467757,0.09108422541866955,0.09209940541058631,0.08981548901330665,0.07816676680348295,0.07787129369661147,0.08629560284385229,0.09273935377147663,0.10457554030823273,0.13110349191860718,0.13559370195216108,0.15938777321118208,0.1728162822959352,0.18652803607252297,0.20829520287856557
GNB1,0.7336187335886681,0.7643080793882105,0.7268724802447619,0.6961102359683853,0.6861673093319095,0.7003220444487247,0.7466207375966981,0.7997481523570504,0.879325486955935,0.9883111172171596,1.059100130169125,1.223182940473326,1.2762077508763958,1.3405730010818016,1.3928534209640973,1.3405038617015663
RP1-140A9.1,0.0021462270102494043,0.0024941176084682937,0.003936189323781888,0.0034550583168607256,0.0037451120465811483,0.0033659171616563033,0.003869964030426288,0.004636878348525199,0.004232596847969709,0.0037975756834042985,0.0014117730038983006,0.004809657211725656,0.010916340217963129,0.00838009208372583,0.00665955716310448,0.008796572646284416
CFAP74,0.004652555087564439,0.004638040036308204,0.005853628800170574,0.004869701127275426,0.005805836878452468,0.003521416648325491,0.005105999733688348,0.006437934148362904,0.005740896758372283,0.004109965192702519,0.005960295224314803,0.0035299193121672945,0.007509308932167056,0.006265622510380821,0.008683591025116504,0.00982964422578126
PRKCZ,0.07560430667229504,0.07191350738369573,0.0700948458071374,0.07470144289318971,0.07593118802543512,0.07229447951320274,0.08265194342859743,0.09541546859639366,0.10175471750167887,0.10213648600671506,0.11769248838243368,0.13358460233036684,0.15030477350814722,0.163585486338054,0.1772786739630022,0.17003269664017984
PRKCZ-AS1,0.009677981714988057,0.00859622833021747,0.009051213096479853,0.009435889100169735,0.010180974042808303,0.012438869407864947,0.015004434704297005,0.0157478626622843,0.013407128808340567,0.014331212680869208,0.025305826581649846,0.032775492220811796,0.029238855049436102,0.04522352237723239,0.04890043360247968,0.054746775864775665
FAAP20,0.04661903175351255,0.0460732984711072,0.04479295065888295,0.047894010780149536,0.044822508949185824,0.04361813736867936,0.05218785252166238,0.057019907176567866,0.0597227841417083,0.07545589802930538,0.08724433449390051,0.1055173387736485,0.1186620799440476,0.13808055957715354,0.1435388930196469,0.16068856231137818
RP11-181G12.4,0.0025095151414974916,0.0017560656631673245,0.002237056774143466,0.001606997333385731,0.0031565294839889465,0.0029221181366033775,0.001960741571486955,0.0031443439886550927,0.002922931259232381,0.002355806627398842,0.0029095013111412943,0.007552971365216422,0.010192908325849608,0.00674843668801288,0.012801692775542007,0.01297550316340004
SKI,0.3359179269528773,0.3705662044506663,0.3662957567259295,0.3349027072237661,0.32505876190314514,0.30324211767543985,0.32591892667276273,0.3575932617074299,0.3992650799039521,0.4832743295336793,0.5037046875413898,0.49795244266048216,0.5223830799491557,0.5452295775766094,0.6039442076602757,0.606419823274893
RP11-181G12.8,0.0037621437495928924,0.0025161281438790773,0.002469512201349962,0.0018659276610006616,0.002637547377620685,0.002666761147467718,0.0033381570701182914,0.002701395483528388,0.003385273137128602,0.002639591617486447,0.00449694304928913,0.004576633060530335,0.005740546471672226,0.007937272520441758,0.008194279845253092,0.006250737870440764
MORN1,0.09333540817614575,0.09273975418306689,0.0853500476355664,0.07627436785289941,0.07366246262439248,0.08644986128994867,0.0995162546026038,0.11025825743760957,0.11839910690279232,0.12461218296125584,0.1385640878803455,0.17200106445857122,0.20326213262258985,0.21057398993206516,0.22110537070655545,0.22677869624366948
RP4-740C4.5,0.007969614907515465,0.0074746087661521025,0.006581105942907514,0.006416629819389352,0.005017239063863892,0.00864850294209381,0.008952558944401732,0.010946155545091658,0.010035306037875717,0.015315394128831828,0.011130147541944798,0.026808952049660127,0.033611995792503034,0.02915700011858951,0.02738759289025213,0.03730951745330898
RER1,0.0871919832863065,0.08939004097361347,0.07927704267537547,0.07288252463164369,0.07164925392611231,0.06756304540369516,0.072186113401866,0.08178075683963175,0.08847112613008161,0.10446413206542314,0.10282063644405429,0.1513341801765267,0.13560483947330895,0.18407639819335883,0.18439032420581467,0.18861577637444915
PEX10,0.04519213252496738,0.05000662701969407,0.04910744977235479,0.04424967600949991,0.04368001627778733,0.04268890095663102,0.039458202044269156,0.0446049365132003,0.054204660603757546,0.05594312594663405,0.0687416528019455,0.06234663336651094,0.06863900685053591,0.07679485338708084,0.07836321313070518,0.08225000140324137
PLCH2,0.0029437805040470194,0.004170043548187171,0.005022053473723024,0.00498293370627799,0.005411385206592144,0.004596536222306155,0.004739568494953364,0.0049876470835427235,0.005466929852618265,0.005440962501765443,0.003923825580965389,0.009287944781589782,0.005572491211390943,0.007863861949820267,0.011436375787980735,0.010996029092595469
PANK4,0.07774418835306986,0.08148278786517903,0.07013831505482725,0.06521502248245878,0.06557568125977005,0.06136169254252975,0.0702142325176661,0.0756433154524435,0.08485623619017311,0.08871481920694244,0.09143328580718774,0.1226914291594762,0.12133898281413909,0.1354823293466999,0.16508742858864378,0.16226897130604662
RP3-395M20.12,0.003082715151554539,0.0028054233039421666,0.0036665929022086036,0.003573694832982162,0.003759530689100691,0.0037417799300693303,0.005037997610703401,0.003742115889213975,0.004454073774608068,0.006124796603055231,0.003530148989879168,0.011963858071139288,0.007570976748806954,0.008930801876417833,0.009054016176812995,0.010238681421949973
TNFRSF14,0.0012419596499889467,0.0017317067679256124,0.0013383484666682599,0.0017028293808531345,0.0026038711156879594,0.0040284690033485625,0.006984477160543574,0.009995729976734943,0.010224354192978645,0.007058246553574415,0.010233016515319998,0.03546512332034863,0.026298342304587316,0.04735636714530482,0.04229219877876963,0.053396621658131964
PRXL2B,0.009358502091827953,0.010541722100823537,0.011061016533111822,0.012602954422746863,0.009228020205226787,0.01215359300695748,0.013766265881780244,0.015876674479000687,0.01637645979183931,0.015336611892733196,0.014164098440767168,0.023589072829140644,0.029681792166968195,0.036019801786616956,0.036510973618983526,0.040367127185553506
TTC34,0.01950330245733792,0.0198176926690479,0.021801055536901814,0.0226564476800812,0.025544729294041616,0.020050777692114136,0.023039657199344428,0.02751787710149521,0.029020280413816157,0.026114162937336646,0.03019671238489918,0.04951169731576928,0.06640428920452177,0.06488670278297955,0.06411489855667159,0.06838430599644293
PRDM16,0.010646792300231925,0.010937109282139623,0.009741831201562658,0.009134371060435562,0.009905579353145406,0.008159286722403769,0.0076598421162301,0.00782709450866814,0.010145225110767896,0.007483178359963351,0.007073900004575303,0.007278728660917927,0.006806172885217655,0.010100427520561546,0.014032567873880769,0.01236999943560245
ARHGEF16,0.0007041921922330633,0.0008973224856754183,0.0010822361603517123,0.000981074009308381,0.0011525752478707125,0.0016570545477170694,0.0018633429963099471,0.003644449082927317,0.008050221387464064,0.00920041605892261,0.03123460881985151,0.06620935317386813,0.08834816428071529,0.08105891581530975,0.09346292946558571,0.09272016020966511
MEGF6,0.0047809077905324815,0.005982530151105864,0.0046910747288256985,0.004702531510075338,0.005375074883220446,0.006626820658886256,0.0055272199079062926,0.007956052496891925,0.007268101109339893,0.007897927626628443,0.008343752030726079,0.013977891765916411,0.017695601713053486,0.012514992610677156,0.02255543917199354,0.01838039766534481
TPRG1L,0.014233436994278991,0.016505561718656383,0.01796265682217868,0.01787296885603982,0.01886776592237427,0.0205341855787656,0.019715033393420445,0.02456666101743344,0.030061985364970713,0.031820988681827436,0.042325302697978656,0.0541307337945331,0.04944814872969942,0.06650168227044614,0.07127051195497917,0.07171304539527769
WRAP73,0.038114741653473366,0.04159005721872676,0.04388276530373095,0.038165661354984386,0.0360361547047317,0.03593194559256819,0.04091294074762216,0.04050969727561748,0.04651514545169103,0.06060564631607547,0.07843068239467961,0.07564518811613846,0.06792357969341119,0.07948437000644017,0.09011927629285117,0.09124429833655263
