"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"COT2",0,-0.0120558736499717,-0.00221097397861852,-0.017110275327135,-0.0279638004122224,0.0115064145018335,0.00964726633593429,-0.0670683923404562,-0.0183918693844946,-0.0137853539895294,-0.0298556631645567,-0.0407769528607672,-0.04010584582509,-0.049321938235035,-0.0351207574475381,-0.0374307100993809
"CREM",0,0.00673099124556701,0.0232248963819972,0.0271279122261924,-0.0119067323319507,0.0438784916384383,0.0221723561534009,0.0149378055106029,0.0218309391272932,0.0422695917199105,0.0337996420186549,0.044701509866376,-0.00630402809172116,0.00189906229119169,0.0982347480263004,0.0274144537703381
"CRX",0,-0.00141860516098557,-0.0159870965530834,-0.0109093297186966,-0.0177571711168251,-0.00506669741896905,0.0570741185597803,0.0478040225864831,0.0117842320256895,-0.0102677599966261,0.0680420882595256,-0.0206371447070419,0.0668422872503544,0.00683268551082129,0.00960047435281679,0.0315500334990431
"CUX1",0,-0.0101413917895824,0.00937430111040209,-0.0332081637238153,-0.00134381886370984,-0.0320014810297131,-0.016062839183825,-0.0810453104280479,-0.0517790381077858,-0.01217206397341,-0.0578408317809386,0.0475752476780266,0.0130984376714527,-0.0420955701718884,-0.00479920499442156,0.0388672626672268
"DBP",0,-0.0651994926080505,0.0110699402523731,-0.0349170331106649,0.053849161217513,0.0493358560174796,0.0105652552655569,0.0289442699905953,0.0135685929763663,-0.00488812959726846,0.0459844972862174,0.0571437526971394,0.0457574217776758,0.0385754828210469,0.0270992251274609,0.0292237794632383
"DLX3",0,-0.00539486759702343,-0.0267366891087905,-0.0255825534927545,-0.0255637290224154,0.0834958952492312,0.0518809036495298,0.0639674968500769,0.0660935933553515,0.012257588323408,0.0139050267356693,0.0605652794579589,-0.0112695457506308,0.0827813786344432,0.0103790366999016,0.0316616021847092
"DUX4",0,-0.00784701597152407,0.0250461695768244,-0.011175290695901,0.02449811730395,-0.0271188731430007,-0.00926748256557962,0.00804179145114934,0.0116675573791451,-0.00225029974563549,0.0349842719715052,-0.0375741464066897,-0.00895082409896896,0.00453805541636751,-0.0236534484858395,0.00265204153801688
"E2F2",0,-0.0106853670913198,-0.0210088440971392,0.0246099604153582,-0.00585657731429652,-0.0359992045346644,-0.0226842392898316,-0.0478247711805646,-0.0457930551933125,-0.0163880000716212,0.0144021518082356,-0.0030555607636594,0.0182636572239031,0.0477617262173709,0.00397610120212943,-0.0137211089329061
"E2F3",0,0.00346583198920455,-0.00323321093616231,-0.00327455034875752,-0.00235890786787634,0.0187711367411055,0.0122242452129341,-0.00296483991341238,-0.0081377716438576,-0.0183278640894502,0.000964235125455862,0.0242744084823485,0.00981715753763543,0.0220071926793669,0.016110477548796,0.0205413655580256
"E2F5",0,-0.00527628035751448,0.023097991247689,-0.0494638634086159,-0.0286196212548959,0.0123675549429311,0.00822802410077232,0.0120207557631998,-0.0600235868076453,-0.0344209555135016,0.0285249049001605,-0.01167827480833,0.0302517856454865,-0.0187004011674009,-0.00595025911697164,0.035215261955854
"E2F6",0,-0.00396135828307726,0.0251207926811051,-0.00894747578522304,0.0249306308084319,-0.0160870106378224,-0.0245707700134389,-0.0186520304831959,0.0136647902404959,0.0028600623614924,-0.0035151066376645,-0.025794579568428,-0.0107814100077035,-0.0181452978793725,-0.0226341983105311,-0.0055329095085177
