"","PT_seg01","PT_seg02","PT_seg03","PT_seg04","PT_seg05","PT_seg06","PT_seg07","PT_seg08","PT_seg09","PT_seg10","PT_seg11","PT_seg12","PT_seg13","PT_seg14","PT_seg15","PT_seg16"
"ZFX",0,0,0,0,0,0,0,0,0,0,0,0.0643305226754858,0.0606057677417179,0.0475230965909001,0.0581999981196259,0
"ZIC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZIC3",0,0,0,0,0,0,0.0433035245194862,0,0,0.0385965773815575,0,0,0,0,0.0404242963453398,0
"ZIM3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZKSC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN134",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN257",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN260",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN264",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604703469961145,0
"ZN274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN317",0,0,0,0,0,0,0,0,0,0,-0.0717403129672616,0,-0.0813527094468559,0,-0.0579539621036994,-0.056687047717035
"ZN320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0377364769809892
"ZN322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN329",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506653210353626,0.0487138681961901
"ZN331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN350",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570402907876278
"ZN384",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN394",0,0,0,0,0,0,0,0,0,0,-0.0365010253984278,0,0,0,0,0
"ZN418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN449",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN490",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN547",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN549",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0577144733732058,0.0627932557438211,0.0698374462406658
"ZN554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN586",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN770",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZN816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZNF85",0,0,0,0.0617352907129675,0,0,0,0,0,0,0,0,0,-0.0593729038020131,0,-0.0513393182280254
"ZNF8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZSC22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
